TID,VAR,TRP,VAL
80345911,TC,R,1
80345911,TC,RG,1
80345911,TC,RM,1
80345911,TC,RS,1
80355611,TC,R,1
80355611,TC,RG,1
80355611,TC,RM,1
80355611,TC,RS,1
80004511,TC,R,0
80004511,TC,RG,0
80004511,TC,RM,0
80004511,TC,RS,0
80221111,TC,R,1
80221111,TC,RG,1
80221111,TC,RM,1
80221111,TC,RS,1
80483211,TC,R,0
80483211,TC,RG,0
80483211,TC,RM,0
80483211,TC,RS,0
80093111,TC,R,1
80093111,TC,RG,1
80093111,TC,RM,1
80093111,TC,RS,1
80364111,TC,R,1
80364111,TC,RG,1
80364111,TC,RM,1
80364111,TC,RS,1
80022511,TC,R,1
80022511,TC,RG,1
80022511,TC,RM,1
80022511,TC,RS,1
80123111,TC,R,1
80123111,TC,RG,1
80123111,TC,RM,1
80123111,TC,RS,1
80192811,TC,R,0
80192811,TC,RG,0
80192811,TC,RM,0
80192811,TC,RS,0
80243511,TC,R,0
80243511,TC,RG,0
80243511,TC,RM,0
80243511,TC,RS,0
80614611,TC,R,0
80614611,TC,RG,0
80614611,TC,RM,0
80614611,TC,RS,0
80205611,TC,R,1
80205611,TC,RG,1
80205611,TC,RM,1
80205611,TC,RS,1
80748811,TC,R,0
80748811,TC,RG,0
80748811,TC,RM,0
80748811,TC,RS,0
80009611,TC,R,1
80009611,TC,RG,1
80009611,TC,RM,1
80009611,TC,RS,1
80048011,TC,R,0
80048011,TC,RG,0
80048011,TC,RM,0
80048011,TC,RS,0
80282111,TC,R,0
80282111,TC,RG,0
80282111,TC,RM,0
80282111,TC,RS,0
80001111,TC,R,0
80001111,TC,RG,0
80001111,TC,RM,0
80001111,TC,RS,0
80001211,TC,R,1
80001211,TC,RG,1
80001211,TC,RM,1
80001211,TC,RS,1
80189611,TC,R,1
80189611,TC,RG,1
80189611,TC,RM,1
80189611,TC,RS,1
80315411,TC,R,0
80315411,TC,RG,0
80315411,TC,RM,0
80315411,TC,RS,0
80017511,TC,R,0
80017511,TC,RG,0
80017511,TC,RM,0
80017511,TC,RS,0
80072611,TC,R,0
80072611,TC,RG,0
80072611,TC,RM,0
80072611,TC,RS,0
80294911,TC,R,0
80294911,TC,RG,0
80294911,TC,RM,0
80294911,TC,RS,0
80262811,TC,R,0
80262811,TC,RG,0
80262811,TC,RM,0
80262811,TC,RS,0
80686511,TC,R,0
80686511,TC,RG,0
80686511,TC,RM,0
80686511,TC,RS,0
80195711,TC,R,0
80195711,TC,RG,0
